record_id,entity_name,category,region,metric_value,recorded_date
1,Bluebird Textiles,Chemicals,"Jaipur, Rajasthan",126221.47,2016-07-25
2,Bluebird Agro Industries,Renewable Energy,"Amritsar, Punjab",20732.43,2016-01-19
3,Everline Retailers,Textiles & Apparel,"Bengaluru Urban, Karnataka",282816.31,2023-01-11
4,Larkspur Builders,Plastics & Packaging,"Jaipur, Rajasthan",227358.48,2018-02-13
5,Sunrise Auto Parts,Renewable Energy,"Thiruvananthapuram, Kerala",173424.01,2016-09-28
6,Stonebridge Enterprises,Agro Products,"Bengaluru Urban, Karnataka",193064.01,2019-01-10
7,Meridian Plastics,Food Processing,"Madurai, Tamil Nadu",366217.23,2021-01-05
8,Trueform Agro Industries,Furniture & Woodwork,"Pune, Maharashtra",415555.31,2021-12-08
9,Skyline Electronics,Agro Products,"Madurai, Tamil Nadu",27683.07,2017-07-22
10,Amberlight Agro Industries,Plastics & Packaging,"Kochi, Kerala",433909.42,2019-04-06
11,Brightwell Leather Co.,Electronics Assembly,"Hubballi, Karnataka",188239.58,2017-05-08
12,Crestwood Agro Industries,Electronics Assembly,"Udaipur, Rajasthan",269399.24,2017-09-29
13,Brightwell Pharma,Chemicals,"Nashik, Maharashtra",494814.06,2022-03-06
14,Redstone Foods,Leather Goods,"Ludhiana, Punjab",422211.7,2023-09-14
15,Everline Traders,Leather Goods,"Warangal, Telangana",203576.57,2015-09-29
16,Skyline Furniture Works,IT Services,"Bengaluru Urban, Karnataka",329442.14,2019-06-09
17,Brightwell Handicrafts Co.,Chemicals,"Jaipur, Rajasthan",74117.01,2023-05-10
18,Redstone Plastics,Renewable Energy,"Noida, Uttar Pradesh",449422.33,2019-06-24
19,Everline Handicrafts Co.,Retail Trade,"Madurai, Tamil Nadu",50000.16,2015-07-12
20,Golden Harvest Auto Parts,Renewable Energy,"Pune, Maharashtra",300222.47,2019-04-26
